,Book_title,Book_summary
82,The Bird Singers,"'The whistling had started on their first night. At first, Layah thought it was bird song - a high thin sound which became a melody, rising and falling. And each night, it returned.'Strange things have been happening to Layah and her younger sister, Izzie, ever since their mother dragged them to a rain-soaked cottage miles from anywhere in the Lake District: there is a peculiar whistling at night, a handful of unusual feathers appear on their doorstep and there are murmurings of a shadowed woman in the forest. And their mother is behaving very oddly. Layah is mourning the loss of her dear grandmother in Poland - and can almost hear her Babcia's voice telling her the old myths and fairy tales from that magical place.And as the holiday takes on a dark twist, Layah begins to wonder if the myths might just be real."
83,A History of Underwear with Professor Chicken,"Packed with information, hilariously but accurately (well...except for the chickens) illustrated, Hannah Holt and Korwin Briggs' A History of Underwear with Professor Chicken is sure to wedge its way into the annals of history-based picture books.From Paleolithic loincloths to Henry VIII's wives wearing underwear on their heads to Mary Walker, a civil war surgeon who was arrested for wearing men's underwear and clothing to better work on patients, this book surveys the vast and fascinating history of our most private clothing.Modeled by chickens, we trace the history of underwear from the very first discovery- a paleolithic nomad whose body was found completely preserved in ice. From there, we look across time and culture in this completely accessible, new take on boring old nonfiction picture books."
84,The Hiking Viking,"While the other Vikings love to holler and howl and battle and brawl, Leif prefers spending time by himself atop the beautiful fjord. But when it's time for the Viking Games, everyone must participate. Will Leif let down his clan . . . or surprise them? Highlighting the value of nature and earthly wonders, best-selling author Laura Gehl teams up with illustrator Timothy Banks to remind readers to stay true to themselves and to look at things from a new perspective."
85,Everything Will Be Ok,"The bestselling creators of Llama Llama and Skippyjon Jones bring warmth and humor to a story with a comforting message we could all use when times are tough: everything will be okay.Nothing is going right for little Bunny today. His sandwich has PB&J instead of cheese. He's lost his kite. Ow! And he's stubbed his toe! But while some days can feel more sad than happy, there's always a bright spot on the horizon. Anna Dewdney and Judy Schachner perfectly blend rhyme, humor, and comfort to show readers the way out of a tough spot--no matter if it's big or small."
86,Not That Pet!,"Some are too scary, some are too smelly, some are too wiggly, and some are too giggly. Can Mabel find the perfect pet for her family?Not noisy or scary or covered in spikes.She’d choose something friendly that EVERYONE likes.Mabel’s family is letting her pick what kind of pet to get, and she is determined to find the very BEST one. “Any pet you like delivered to your door,” promises the sign. But what if the ants are too tiny, the hyenas too giggly, the owl too loud? What if the snake almost strangles Granddad and the skunk wants to spray the baby? None of the pets she tries out seems like the right fit. Readers will love following through several comical reveals until Mabel meets her furry match (not what you might guess!). Best-selling author Smriti Prasadam-Halls’s hilarious rhyming read-aloud and Rosalind Beardshaw’s charming illustrations will have kids laughing—and dreaming of their own quirky pets."
87,Nenek Tata and the Mangrove Menace,"Nenek Tata is preparing for a normal day, gathering water, feeding her animals and checking the crab traps in the mangrove swamp before the first storm of the monsoon arrives.But it turns out to be a not-so-normal day, for when she gets inside the gloomy jungles of the swamp, she is confronted by a huge, dripping, brown monster. And, when the monster follows her, she is forced to defend her home to the last …Set in Malaysia’s eastern-most state of Sabah, this delightful spooky story is told in the style of hantu stories — ghost tales — told to young children by grandparents to entertain them before bedtime, and to keep them safe from the dangers of the swamps and jungles.Illustrations:Through 35 dynamic, full-colour illustrations, the tranquil rural coastal landscape is transformed as the storm approaches and the drama unfolds, drawing the reader deeper into the mystery. What is this monster, where did it come from?The beauty of the shapes and colours of north Borneo’s native vegetation and animals, along with the exquisite styles of Kadazan-Dusun textures and patterns, are artfully captured in a wonderland of storytelling that merges cultures for children and adults interested in distant times and places. The fine attention to detail gives readers hours of enjoyment in a wild and rollicking adventure that will keep young readers at the edge of the knees they’re sitting on, and gazing long into the mysteries of the art."
88,False,False
89,Northwind,"The story of a young person's battle to stay alive against the odds, where the high seas meet a coastal wilderness.When a deadly plague reaches the small fish camp where he lives, an orphan named Leif is forced to take to the water in a cedar canoe. He flees northward, following a wild, fjord-riven shore, navigating from one danger to the next, unsure of his destination. But the deeper into his journey he paddles, the closer he comes to his truest self as he connects to ""the heartbeat of the ocean . . . the pulse of the sea."""
90,The Keeper,"Inspired by the true story of the ""Westfield Watcher,.”The first letter turns up on his desk. The second is stuck between the spokes of his bike. The third flies through the kitchen window.And they are all addressed to James from someone called the Keeper.Moving from Texas to Oregon was a bad idea. No sooner have James and his family arrived in their “perfect” new town than he starts getting mysterious and sinister letters from someone called the Keeper. Someone who claims to be watching him. Someone who is looking for “young blood.” James and his sister, Ava, are obviously in danger. But the problem with making a fuss about moving and having a history of playing practical jokes is that no one believes James—not even his parents.Now James and Ava need to figure out who is sending the letters before they become the next victims in their neighborhood’s long history of missing children. Because one thing is clear: uncovering the truth about the Keeper is the only thing that will keep them alive."
91,All My Friends,"From New York Times-bestselling and Eisner Award-winning creator Hope Larson comes All My Friends, the final standalone book in a middle grade graphic novel trilogy about friendship, family, and music. Perfect for fans of Real Friends by Shannon Hale.Middle-schooler Bina has everything she's ever wanted. She has new friends and a new band whose song is about to be featured on her favorite television show.But being in the spotlight is hard. When Bina and her band are offered a record deal, her parents are not thrilled. Now, Bina is barely speaking to her mom and dad. To make matters worse, Bina and her best friend, Austin, are still awkward around each other after their failed first date.Can Bina untangle the various melodies in her heart? Or will fame go to her head?"
92,"The Unforgettable Logan Foster, #1","Packed with superheroes, supervillains, and epic showdowns between good and evil, The Unforgettable Logan Foster from debut author Shawn Peter shows that sometimes being a hero is just about being yourself.Logan Foster has pretty much given up on the idea of ever being adopted. It could have something to with his awkward manner, his photographic memory, or his affection for reciting curious facts, but whatever the cause, Logan and his ""PP's"" (prospective parents) have never clicked.Then everything changes when Gil and Margie arrive. Although they aren't exactly perfect themselves--Gil has the punniest sense of humor and Margie's cooking would have anyone running for the hills--they genuinely seem to care.But it doesn't take Logan long to notice some very odd things about them. They are out at all hours, they never seem to eat, and there's a part of the house that is protected by some pretty elaborate security.No matter what Logan could have imagined, nothing prepared him for the truth: His PP's are actually superheroes, and they're being hunted down by dastardly forces. Logan's found himself caught in the middle in a massive battle and the very fate of the world may hang in the balance. Will Logan be able to find a way to save the day and his new family?"
93,False,False
94,The Girl in the Lake,"For fans of Small Spaces, Doll Bones, and Mary Downing Hahn, a truly chilling (and historically inspired) ghost story from the award-winning author of The Forgotten Girl.Celeste knows she should be excited to spend two weeks at her grandparents' lake house with her brother, Owen, and their cousins Capri and Daisy, but she's not.Bugs, bad cell reception, and the dark waters of the lake... no thanks. On top of that, she just failed her swim test and hates being in the water-it's terrifying. But her grandparents are strong believers in their family knowing how to swim, especially having grown up during a time of segregation at public pools. Without the opportunity to learn, Grandma's sister drowned when they were kids.But soon strange things start happening, like Celeste's cousins accusing her of waking them up in the middle of the night. But Celeste hasn't been awake during the night-she knows she's been fast asleep because she's been having terrible nightmares about drowning!Things at the old house only get spookier until one evening when Celeste looks in the steamy mirror after a shower and sees her face, but twisted, different...Who is the girl in the mirror? And what does she want?Past and present mingle in this spine-tingling ghost story by India Hill Brown."
95,Rebellion of the Lost,"Bestselling authors Amie Kaufman and Ryan Graudin invite readers back to the wondrous world where lost things are found in this second book of an exciting, fast-paced middle-grade fantasy adventure series. Perfect for fans of Chris Colfer’s Land of Stories and Margaret Peterson Haddix’s The Missing!When Jake and Marisol return unexpectedly to the World Between Blinks, they find that nothing is as they left it. The Administrator is on an unstoppable mission, ordering his Curators to catalog absolutely everyone and everything as if they're exhibits in a museum. With rebels like Amelia Earhart and Queen Nefertiti facing the threat of their hourglasses of memories being flipped, Jake and Marisol, along with Marisol’s big brother, Victor, must locate a mysterious item known as the Rocket. This unknown object is their only chance to defeat the Administrator—before everything that makes the World wonderful is lost, in a whole new way.…Propelled by a page-turning mystery and plenty of action, this sequel also features fun, interesting facts about history and engaging back matter that helps readers separate fact from fiction!"
96,Tiger Honor,"Sebin, a young tiger spirit from the Juhwang Clan, wants nothing more than to join the Thousand World Space Forces and, like their Uncle Hwan, captain a battle cruiser someday. But when Sebin's acceptance letter finally arrives, it's accompanied by the shocking news that Hwan has been declared a traitor. Apparently, the captain abandoned his duty to steal a magical artifact, the Dragon Pearl, and his whereabouts are still unknown. Sebin hopes to help clear their hero's name and restore honour to the clan.Nothing goes according to plan, however. As soon as Sebin arrives for orientation, they are met by a special investigator named Yi and his assistant, a girl named Min. Yi informs Sebin that they must immediately report to the ship Haetae and await further instructions. Sebin finds this highly unusual, but soon all protocol is forgotten when there's an explosion on the ship, the crew is knocked out, and the communication system goes down. It's up to Sebin, three other cadets, and Yi and Min to determine who is sabotaging the battlecruiser. When Sebin is suddenly accused of collaborating with the enemy, the cadet realizes that Min is the most dangerous foe of all..."
97,The Year We Learned to Fly,"Jacqueline Woodson and Rafael López’s highly anticipated companion to their #1 New York Times bestseller The Day You Begin illuminates the power in each of us to face challenges with confidence.On a dreary, stuck-inside kind of day, a brother and sister heed their grandmother’s advice: “Use those beautiful and brilliant minds of yours. Lift your arms, close your eyes, take a deep breath, and believe in a thing. Somebody somewhere at some point was just as bored you are now.” And before they know it, their imaginations lift them up and out of their boredom. Then, on a day full of quarrels, it’s time for a trip outside their minds again, and they are able to leave their anger behind. This precious skill, their grandmother tells them, harkens back to the days long before they were born, when their ancestors showed the world the strength and resilience of their beautiful and brilliant minds. Jacqueline Woodson’s lyrical text and Rafael Lopez’s dazzling art celebrate the extraordinary ability to lift ourselves up and imagine a better world."
98,Fearless Heart: An Illustrated Biography of Surya Bonaly,"A vibrant picture book biography of Surya Bonaly, the figure skating champion who backflipped her way into history As a young girl in France, Surya Bonaly was constantly in motion, gifted in any sport she tried. But it was figure skating that had her heart. Surya knew she belonged on the ice. Her colorful costumes, exuberant routines, powerful jumps, and daring combinations were all expressions of her love for skating and her ambition to push the boundaries of what a figure skating champion could look like. Some people weren't sure Surya belonged on top of the podium. ""Is she graceful enough?"" they asked. ""Does she look like a skater?"" But Surya's fearless heart propelled her to always stay true to herself while pursuing her boldest dreams.Culminating in her iconic backflip performed at the 1998 Olympics, Fearless Heart is a lushly illustrated, lyrical story of self-expression and courage."
99,Star Child: A Biographical Constellation of Octavia Estelle Butler,"From the New York Times bestselling author and National Book Award finalist, a biography in verse and prose of science fiction visionary Octavia Butler.Acclaimed novelist Ibi Zoboi illuminates the young life of the visionary storyteller Octavia E. Butler in poems and prose. Born into the Space Race, the Red Scare, and the dawning Civil Rights Movement, Butler expereinced an American childhood that shaped her into the groundbreaking science-fiction storyteller whose novels continue to challenge and delight readers fifteen years after her death."
100,Love in the Library,"Set in an internment camp where the United States cruelly detained Japanese Americans during WWII and based on true events, this moving love story finds hope in heartbreak.To fall in love is already a gift. But to fall in love in a place like Minidoka, a place built to make people feel like they weren’t human—that was miraculous.After the bombing of Pearl Harbor, Tama is sent to live in a War Relocation Center in the desert. All Japanese Americans from the West Coast—elderly people, children, babies—now live in prison camps like Minidoka. To be who she is has become a crime, it seems, and Tama doesn’t know when or if she will ever leave. Trying not to think of the life she once had, she works in the camp’s tiny library, taking solace in pages bursting with color and light, love and fairness. And she isn’t the only one. George waits each morning by the door, his arms piled with books checked out the day before. As their friendship grows, Tama wonders: Can anyone possibly read so much? Is she the reason George comes to the library every day? Beautifully illustrated and complete with an afterword, back matter, and a photo of the real Tama and George—the author’s grandparents—Maggie Tokuda-Hall’s elegant love story for readers of all ages sheds light on a shameful chapter of American history."
101,False,False
102,The Mermaid in the Millpond,"History and myth entwine in this atmospheric tale of freedom and friendship from bestselling author Lucy Strange, and acclaimed illustrator Pam Smy.Bess has left the London workhouse behind for a job at a rural cotton mill. But life at the mill is hard and cruel– a far cry from the fresh start Bess hoped for. The only way to survive is to escape, but the mill is like a prison, with no way out. Meanwhile, rumours are spreading about a vicious creature that lurks in the millpond. Bess is sure it’s all nonsense, until one night she sees something stir in the murky water. But is it really a monster that lives in the depths of the pond? Or a creature trapped and alone, just like Bess, desperate to escape?"
103,Fly,"Pure joy and the power of community radiate from this sweet picture book about a young Black girl’s perseverance and confidence in following her double Dutch dreams.Africa’s grandmother was a double Dutch legend, and Africa knows she can become the same. Her brother scoffs when she signs up for a double Dutch competition, though—how can she hope to compete when she’s never done it before? But Africa has all the tools she needs: memories of her grandmother, her bestie Bianca’s dance moves, her friend Omar’s rhythm, and her classmates’ Mary Mack timing and cartwheels. If Africa can pull everything together to jump some winning moves, she might just fly, but it’s the birthmark in the shape of her name that tells her she’s always been a winner."
104,"Shang-Chi by Gene Luen Yang, Vol. 2: Shang-Chi vs. The Marvel Universe","Shang-Chi vs. the Marvel Universe! The martial arts master and his family are back — and this time, they’re colliding head-to-head with Earth’s biggest and best heroes! Shang-Chi has finally taken his place as the leader of the Five Weapons Society. But using a secret evil organization as a force for good won’t be easy. And it’s about to get a lot harder when Shang-Chi’s fellow super heroes — including the amazing Spider-Man — start to see him as the bad guy! Gene Luen Yang and Dike Ruan return to bring you the next chapter in the story of a true Marvel legend!COLLECTING: Shang-Chi (2021) 1-6"
105,Just Help!: How to Build a Better World,"
From the author of the #1 New York Times bestseller Just Ask! comes a fun and meaningful story about making the world--and your community--better, one action at a time, that asks the question: Who will you help today?
Every night when Sonia goes to bed, Mami asks her the same question: How did you help today? And since Sonia wants to help her community, just like her Mami does, she always makes sure she has a good answer to Mami's question.In a story inspired by her own family's desire to help others, Supreme Court Justice Sonia Sotomayor takes young readers on a journey through a neighborhood where kids and adults, activists and bus drivers, friends and strangers all help one another to build a better world for themselves and their community.With art by award-winning illustrator Angela Dominguez, this book shows how we can all help make the world a better place each and every day.Praise for Just Help! Generosity proves contagious in this personal portrait of community service by Supreme Court Justice Sotomayor. --
Publishers Weekly
"
106,When The War Came Home,"A STIRRING HISTORICAL ADVENTURE FROM THE AUTHOR OF THE VALLEY OF LOST SECRETS.The First World War has ended, but it hasn't gone away.When Natty has to move to a new village, she meets two young soldiers who are still battling the effects of war. Huw can't forget the terrible things he's seen, but Johnny doesn't even remember who he is.As Natty tries to keep a secret and unravel a mystery, she finds her own way to fight for what she believes in – and learns that some things should never be forgotten …This mesmerising historical mystery includes an interactive clue so readers can unravel the mystery alongside the characters."
107,False,False
108,Oona and the Shark,"The big sea's littlest mischief-maker, Oona, is back in another delightful tale from New York Times bestselling author Kelly DiPucchio and illustrator Raissa Figueroa.Oona loves to share her inventions with her friends. They're big and bold and LOUD--just like her! But there's one underwater creature who doesn't seem to enjoy Oona's company, or her creations.Stanley the shark! He doesn't care for her squeaky unicorn. And he's far too busy for the Sea Horse Carousel. And oh GOODNESS! Oona's latest hopping, chopping, and popping inventions just make him angry.Oona may not know what Stanley likes, but she does know what he doesn't. And maybe that's a good place to start. Because mermaids never stop trying...not when there's a friend out there to make."
109,Hide and Geek,"A puzzlemaker's last clue. A friendship's last chance.The GEEKs: Gina, Edgar, Elena, and Kevin have been best friends for as long as they can remember. So when their arch-nemesis points out that their initials make them literally GEEKs, they decide to go with it.The problem: The GEEKs' hometown of Elmwood was once the headquarters of the famous toymaker Maxine Van Houten. Her popular puzzle sphere, the Bamboozler, put the town on the map. But Maxine passed away long ago. Now the toy factory is shutting down, and Elena's mom and Kevin's dad are losing their jobs. They might have to move--and that would mean splitting up the GEEKs!The quest: Maxine left one final puzzle, a treasure hunt that could save the town and keep the friends together. But only those who know and love Elmwood best will be able to solve it. GEEKs to the rescue!"
110,There's a Unicorn in Your Book,"A brand new 'Who's In Your Book?' story from bestselling children's book author Tom Fletcher.WHOOSH! A unicorn has galloped right into your book - how exciting!But - oh dear! This Unicorn doesn't look very excited at all. In fact, he looks quite worried. Can you help to cheer him up?This brilliant new story combines interactive fun with an important message about the power of friendship, and how helpful it can be to share your worries with others.Who's in Your Book?Interactive adventures for big imaginationsAlso in this series:There's a Monster in Your Book: makes reading interactive and funThere's a Dragon in Your Book: explores empathy and responsibilityThere's an Alien in Your Book: explores acceptance and inclusionThere's an Elf in Your Book: explores following instructions and good/bad behaviourThere's a Superhero in Your Book: explores the power of kindnessThere's a Witch in Your Book: makes tidying up fun"
111,Tia Fortuna's New Home: A Jewish Cuban Journey,"
A poignant multicultural ode to family and what it means to create a home as one girl helps her T�a move away from her beloved Miami apartment.
When Estrella's T�a Fortuna has to say goodbye to her longtime Miami apartment building, The Seaway, to move to an assisted living community, Estrella spends the day with her. T�a explains the significance of her most important possessions from both her Cuban and Jewish culture, as they learn to say goodbye together and explore a new beginning for T�a.A lyrical book about tradition, culture, and togetherness, T�a Fortuna's New Home explores T�a and Estrella's Sephardic Jewish and Cuban heritage. Through T�a's journey, Estrella will learn that as long as you have your family, home is truly where the heart is."
112,False,False
113,False,False
114,Crowned with Glory,"An ode to Black hair and Black girl joy, this joy-filled rhyming picture book invites young readers into the world of a young Black girl as she rocks her God-given beauty.Hello, world! I’m a gift from above.I already know that I am loved.Gazing around with a great big grin—there’s a whole wide world for me to take in.From the hair on her head to the tips of her toes, Azira knows that she is awesome! And whether it’s styled in twists, curls, braids, Bantu knots, a textured bun, or left totally natural, her hair is just one of the countless things that helps Azira celebrate who God made her to be. She’s able to live out a beautiful story because God has crowned her with glory—and Azira wants you to do the same!Young readers will be inspired by this empowering, uplifting reminder to always be and love who God created them to be."
115,False,False
116,The Paper Bird,"A sumptuously illustrated exploration of the joy that comes with creating art for one's own selfThere once was a time when all the colors, from midsummer blue to sunrise orange, lived at the tips of Annie's fingers...But when her classmates' sidelong glances cause Annie to notice all the tiny flaws in her art, her colorful creative spark fades--quite literally--to gray. With lyrical prose and eye-catching illustration author-artist Lisa Anchin shows readers how to find the beauty in imperfections and celebrate the joy of creation for creations' sake."
117,I Am Brave!,"Princess Truly is not afraid of anything, in these rhyming stories perfect for early readers!Pick a book. Grow a Reader!This series is part of Scholastic's early reader line, Acorn, aimed at children who are learning to read. With easy-to-read text, a short-story format, plenty of humor, and full-color artwork on every page, these books will boost reading confidence and fluency. Acorn books plant a love of reading and help readers grow!Princess Truly knows how to be brave! She is going on a camping trip with her little brother Ty and her trusty dog, Sir Noodles. Nothing can scare Princess Truly: She is not afraid of the dark cave, the bugs and spiders, or even when something goes ""bump"" in the middle of the night. But when Princess Truly gets the hiccups, will Ty be able to find a way to scare his fearless big sister? These funny and empowering short stories promote believing in yourself, building confidence, and having a positive self-image, and foster imagination and curiosity. With full-color artwork and easy-to-read rhyming text throughout, this series is perfect for new readers!"
118,If You Were My Valentine,"This Valentine-themed follow-up to If I Could Give You Christmas is an adorable celebration of love and the special relationship between parents and children. If you were my valentine,I would jump, jump with joy!Valentine's Day is for cuddles, sweet treats, silly games, and spending time with the ones we hold dear. Join all kinds of animals and their valentines—from rabbits and puffins, to cougars and otters, to a bigger-than-big whale—in this cozy picture book celebration of love."
119,Until Leaves Fall in Paris,"When the Nazis march toward Paris, American ballerina Lucie Girard buys her favorite English-language bookstore to allow the Jewish owners to escape. The Germans make it difficult for her to keep Green Leaf Books afloat. And she must keep the store open if she is to continue aiding the resistance by passing secret messages between the pages of her books.Widower Paul Aubrey wants nothing more than to return to the States with his little girl, but the US Army convinces him to keep his factory running and obtain military information from his German customers. As the war rages on, Paul offers his own resistance by sabotaging his product and hiding British airmen in his factory. But in order to carry out his mission, he must appear to support the occupation—which does not win him any sympathy when he meets Lucie in the bookstore.In a world turned upside down, will love or duty prevail?"
120,Where the Last Rose Blooms,"Alice runs a New Orleans flower shop alongside her aunt, but thoughts of her mother, who went missing during Hurricane Katrina, are never far from her mind. After getting off on the wrong foot with a man who comes to the shop, Alice soon realizes their worlds overlap--and the answers they both seek can be found in the same place.In 1861 Charleston, Clara is an abolitionist, unbeknownst to her father, who is heavily involved with the Confederacy. She attempts to assist an enslaved woman reunite with her daughter, and a dashing Union spy is just the person to help them. But things go very wrong when Clara agrees to aid the Northern cause by ferrying information about her father's associates--and her own fiancé.Faced with the unknown, both women across the years will have to dig deep to let their courage bloom."
121,In Search of a Prince,"Brielle Adebayo is fully content teaching at a New York City public school and taking annual summer vacations with her mother to Martha's Vineyard. But everything changes when her mom drops the mother of all bombshells--Brielle is a princess in the kingdom of Ọlọrọ Ilé, Africa, and she must immediately assume her royal position, since the health of her grandfather, King Tiwa Jimoh Adebayo, is failing.Distraught by her mother's betrayal, Brielle is further left spinning when the Ọlọrọ Ilé Royal Council brings up an old edict that states she must marry before assuming the throne or the crown will be passed to another. Uncertain who to choose from the council's list of bachelors, she struggles with the decision along with the weight of her new role in a new country. With her world totally shaken, she must take a chance on love and brave the perils a wrong decision may bring."
122,Faithfully Different: Regaining Biblical Clarity in a Secular Culture,"Welcome to Your Place in a Worldview Minority In an increasingly secular society, those who have a biblical worldview are now a shrinking minority. As mainstream culture grows more hostile toward the Bible’s truths and those who embrace them, you’ll face mounting pressures—from family, friends, media, academia, and government—to change and even abandon your beliefs. But these challenges also create abundant opportunities to stand strong for Christ and shine light to those hurt by the darkness of our day. In Faithfully Different, author and apologist Natasha Crain shares how you can live out your faith with conviction, discernment, and courage. You’ll be equipped toidentify and respond to today’s most significant worldview pressures, such as cancel culture, secular social justice, progressive Christianity, deconstruction, virtue signaling, and moreengage effectively with a world that ridicules biblical truthsdefend your faith from misguided influences and live as a bold witness for the LordAs the standards of our day mutate and devolve, Faithfully Different will give you the insight and encouragement you need to believe, think, and live biblically no matter what you face in these turbulent times."
123,False,False
124,Drawn by the Current,"A birthday excursion turns deadly when the SS Eastland capsizes with Olive Pierce and her best friend Claire on board. Hundreds perish during the accident, and it's only when Olive herself barely escapes that she discovers her friend is among the victims.In the aftermath of the tragedy, Olive returns to her work at an insurance agency and is soon caught up in the countless investigations related to the accident. But with so many missing, there are few open-and-shut cases, and she tries to balance her grief with the hard work of finding the truth. Is she just overwhelmed, or is someone trying to impede her investigations? When clues surface that impact those closest to her, how deep will she dig?Newspaper photographer Erik Magnussen begins helping Olive with her cases, and they develop a fast friendship. Just when Olive begins to unravel the secrets, more setbacks arise. It will take everything she's got to find the truth and stay ahead of those who want to sabotage her progress."
125,Bare Tree and Little Wind: A Story for Holy Week,"A lyrical, captivating retelling of the Palm Sunday and Easter story from the award-winning author of Rickshaw Girl that is sure to become a beloved tradition for families of faith.""Real King is coming today!"" Little Wind whooshed through the grove. The trees danced and sang.Little Wind and the trees of Jerusalem can't wait for Real King to visit. But Little Wind is puzzled when the king doesn't look how he expected. His wise friend Bare Tree helps him learn that sometimes strength is found in sacrifice, and new life can spring up even when all hope seems lost.This story stands apart for its imagination, endearing characters, and how it weaves Old Testament imagery into Holy Week and the promise of Jesus's triumphant return. While the youngest readers will connect to the curious Little Wind, older children and parents will appreciate the layers of meaning and Scriptural references in the story, making it a book families can enjoy together year after year."
126,The Girl Who Could Breathe Under Water,"When Kendra Brennan moves into her grandfather's old cabin on Hidden Lake, she has a problem and a plan. The problem? An inflammatory letter from A Very Disappointed Reader that's keeping her from writing her next novel as long as its claims go unanswered. The plan? To confront Tyler, her childhood best friend's brother--and the man who inspired the antagonist in her first book--in order to prove to herself that she told the truth as all good novelists should.What she discovers as she delves into the murky past is not what she expected. Facing Tyler isn't easy, but facing the truth of her failed friendship with his sister, Cami, may be the hardest thing she's ever had to do.Award-winning novelist Erin Bartels searches the heart with this lyrical exploration of how a friendship dies, how we can face the unforgiveable, and how even those who have been hurt can learn to love with abandon."
127,A Heart Adrift,"It is 1755, and the threat of war with France looms over colonial York, Virginia. Chocolatier Esmee Shaw is fighting her own battle of the heart. Having reached her twenty-eighth birthday, she is reconciled to life alone after a decade-old failed love affair from which she's never quite recovered. But she longs to find something worthwhile to do with her life.Captain Henri Lennox has returned to port after a lengthy absence, intent on completing the lighthouse in the dangerous Chesapeake Bay, a dream he once shared with Esmee. But when the colonial government asks him to lead a secret naval expedition against the French, his future is plunged into uncertainty.Will a war and a cache of regrets keep them apart, or can their shared vision and dedication to the colonial cause heal the wounds of the past? Bestselling and award-winning author Laura Frantz whisks you away to a time fraught with peril--on the sea and in the heart--in this redemptive, romantic story."
128,Never Leave Me,"In the last stages of a genetic disease, Ellen Creighton has decided to live out her remaining days at the estate of her longtime friend Harrison Burlington. Harrison cares deeply for Ellen, but as a wheelchair-bound paraplegic, he's never allowed himself to get serious in a relationship. However, he's desperately trying to save her by finding the holy water that is believed to heal any disease.When he locates two flasks, Ellen refuses to drink one of them because she believes the holy water killed her sister and father. In an effort to convince her to take it, Harrison ingests the contents first, and when Ellen witnesses the effects, she can no longer deny the power of the substance in the bottles. Dangerous criminals are also seeking the holy water, and Ellen soon learns they will go to any lengths to get the powerful drug--including sending her back into the past to find it for them.Bestselling and award-winning author Jody Hedlund plunges you into the swiftly flowing river of history in a race against the clock in this breathtaking, emotional second Waters of Time story."
129,The Winter Rose,"In this gripping split-time novel, Grace Tonquin is an American Quaker woman who works tirelessly in Vichy France to rescue Jewish children from the Nazis. After crossing the treacherous Pyrénées, Grace returns home to Oregon with a brother and sister whose parents were lost during the war. Though Grace and her husband love Élias and Marguerite as their own, echoes of Grace's past and trauma from the Holocaust tear the Tonquin family apart.More than fifty years after they disappear, Addie Hoult arrives at Tonquin Lake, hoping to find the Tonquin family. For Addie, the mystery is a matter of life and death for her beloved mentor Charlie, who is battling a genetic disease. Though Charlie refuses to discuss his ties to the elusive Tonquins, finding them is the only way to save his life and mend the wounds from his broken past."
130,Sunrise,"Pilot Dodge Kingston has always been the heir to Sky King Ranch. But after a terrible family fight, he left to become a pararescue jumper. A decade later, he's headed home to the destiny that awaits him.That's not all that's waiting for Dodge. His childhood best friend and former flame, Echo Yazzie, is a true Alaskan--a homesteader, dogsledder, and research guide for the DNR. Most of all, she's living a life Dodge knows could get her killed. One of these days she's going to get lost in the woods again, and his worst fear is that he won't be there to find her.When one of Echo's fellow researchers goes missing, Echo sets out to find her, despite a blizzard, a rogue grizzly haunting the woods, and the biting cold. Plus, there's more than just the regular dangers of the Alaskan forests stalking her . . .Will Dodge be able to find her in time? And if he does, is there still room for him in her heart?Sunrise is the first explosive volume in a new nail-biting series from USA Today bestselling author Susan May Warren."
131,Her Darling Mr. Day,"Jilted in front of all New York, Theodore Day decides to lose himself in his family's luxury riverboat business in New Orleans and compete against his brother to become the next company head. The brother with the most sales by summer's end will win the position. Thanks to Theodore's fame as a suitor in Willow Dupré's outlandish competition to find a husband, he has become very desirable royalty in southern society and thus has an advantage.It took Flora Wingfield's best work to convince her family to summer in New Orleans, but with Teddy Day a bachelor once again, she's leaving nothing to chance. Desperate to stand out from all the clamoring belles, Flora attempts a bold move that goes completely awry, only to find it's her interior design skills that finally catch his notice.But when Flora learns her father has matchmaking schemes of his own, Teddy will have to decide where his happiness truly lies and what he is willing to sacrifice for it."
132,High-Wire Heartbreak,"In 1936--A party at the Ringling mansion Ca d’Zan in Sarasota, Florida, leads to a robbery--and possibly death. A successful historical mystery writer, Chloe Whitfield comes to Ca’ d’Zan to research her next novel. Chloe’s fascination with the circus is rooted in family stories of her great-grandmother Lucinda Conroy, who reportedly was a trapeze artist of some renown. She’s heard hints of scandal—and perhaps larceny, but no details. Chloe’s grandmother—rumored to be Lucinda’s only offspring—was raised in an orphanage and never knew her mother. Intrigued as she is, Chloe has no intent of writing about Lucinda until she sees a poster featuring Lucinda as the star performer for a 70th birthday gala for John Ringling in May of 1936. From there the trail goes cold.Who was Lucinda and what happened to her?"
133,To Disguise the Truth,"When a man arrives at the Bleecker Street Inquiry Agency, anxious to hire them to find a missing heiress, Eunice Holbrooke realizes her past has finally caught up with her . . . and that she may no longer be able to hide under the disguise that has kept her safe for so long.Arthur Livingston's goal in life is to make his mark on the world as a mining industrialist, but after the man who could help him achieve his goal is murdered, Arthur feels compelled to seek justice for the family—but he's left with more questions than answers after the eccentric Bleecker Street Inquiry Agency refuses to take on his case.Desperate to conceal her real identity and avoid the irritatingly handsome Arthur, Eunice takes on a different case that requires her to go deep undercover and entangles her in one troublesome situation after another. When other secrets come to light, Eunice has no choice but to confront her past, hopeful that it will set her free but knowing it could very well place her life—and the lives of those she loves—in jeopardy."
